barangay_id, Barangay,Locality,Province,name,type,description,Address,Nearest Landmark,lat,long
1,Ibabang Dupay,Lucena City,Quezon Province,SM City Lucena,Mall,,"Maharlika Highway, corner Dalahican Rd, Lucena City, 4301 Quezon",,13.94050044,121.6246246
1,Ibabang Dupay,Lucena City,Quezon Province,7-Eleven SM Lucena,Convenience Store,,"Maharlika Highway, National Road, Lucena City, Quezon Province",,13.94136563,121.6243421
1,Barangay 3,Lucena City,Quezon Province,Pacific Mall Lucena,Mall,,"M. L. Tagarao Street, Lucena City, 4301 Quezon",,13.93722252,121.6090863
1,Barangay 9,Lucena City,Quezon Province,Uncle John's,Convenience Store,,"Gov. Leon Guinto St, Lucena City, 4301 Quezon",,13.93138424,121.6127326
1,Barangay 6,Lucena City,Quezon Province,MiniStop / Uncle John's,Convenience Store,,"Quezon Ave, Lucena City, 4301 Quezon",Front of Lots'A Pizza,13.93403936,121.6130236
1,Isabang,Lucena City,Quezon Province,Alfamart,Convenience Store,,"Old Manila, South Road, Lucena City, 4301 Quezon",,13.94896524,121.5838902
1,Kanlurang Mayao,Lucena City,Quezon Province,Alfamart,Convenience Store,,"Maharlika Hwy, Lucena City, 4301 Quezon",,13.95064794,121.6342729
1,Ibabang Dupay,Lucena City,Quezon Province,Alfamart,Convenience Store,,"8 Enverga Blvd, Lucena City, 4301 Quezon",,13.94395122,121.6240202
1,Ibabang Dupay,Lucena City,Quezon Province,7-Eleven Enverga 1718,Convenience Store,,"Old Manila, Old Manila S Rd, Lucena City, 4301 Quezon",,13.942417,121.6248891
1,Ilayang Iyam,Lucena City,Quezon Province,7-Eleven 897,Convenience Store,,"82 Lopez St, Lucena City, 4301 Quezon",,13.93536146,121.6042178
1,Barangay 6,Lucena City,Quezon Province,7-Eleven Lucena 2,Convenience Store,,"Profugo St, Lucena City, 4301 Quezon",,13.93564001,121.6131791
1,Barangay 11,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Merchan St, Lucena City, 4301 Quezon",Front of Sacred Heart College,13.94004961,121.6144351
1,Barangay 1,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Barcelona St, Lucena City, 4301 Quezon",,13.93853233,121.6133421
1,Barangay 8,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"122 M. L. Tagarao Street, Lucena City, 4301 Quezon",Front of the Perez Park,13.92942455,121.61228
1,Cotta,Lucena City,Quezon Province,Alfamart,Convenience Store,,"Quezon Ave, Alfamart, Lucena City, 4301 Quezon",,13.92086693,121.6088414
1,Cotta,Lucena City,Quezon Province,Alfamart,Convenience Store,,"Quezon Ave, Alfamart, Lucena City, 4301 Quezon",1 Block away from Cotta Welcome Arch,13.92627286,121.6119244
1,Dalahican,Lucena City,Quezon Province,Alfamart,Convenience Store,,"Purok 2 Ilaya, Lucena City, 4301 Quezon",Near South Emerald Supermarket,13.90740193,121.6214541
1,Ibabang Dupay,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Old Manila S Rd, Lucena City, 4301 Quezon",Near Total Gas Station,13.94436374,121.6291524
1,Isabang,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Quezon Eco Tourism Rd, Lucena City, 4301 Quezon",Beside Giant Gas Station,13.95357143,121.5785976
1,Isabang,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Old Manila S Rd, Lucena City, 4301 Quezon",Front of Doctors,13.94789858,121.5857263
1,Barangay 5,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Old Manila S Rd, cor Abellanosa, Lucena City, 4301 Quezon",Beside Dominos,13.93674208,121.6110201
1,Barangay 1,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Quezon Ave, Lucena City, 4301 Quezon",Beside QMC and MMG plaza,13.94148873,121.6133122
1,Ibabang Dupay,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Moscow St, Geneva St, Lucena City, Quezon",End of Geneve St from Gate 3 MSEUF,13.95565412,121.620236
1,Gulang-gulang,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Quezon Ave, Lucena City, 4301 Quezon",Front of Camp Nakar,13.95349596,121.6119514
1,Gulang-gulang,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Tayabas - Lucena Road, Lucena City, 4301 Quezon","Near Jollibee Diversion, Front of E-Jeep Terminal",13.96174376,121.6094119
1,Bocohan,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Maharlika Hwy, Lucena City, 4301 Quezon",Near PTT Gas Station,13.96160894,121.586898
1,Ilayang Dupay,Lucena City,Quezon Province,7-Eleven Lucena,Convenience Store,,"Maharlika Hwy, Lucena City, 4301 Quezon","Side of S&R, Near Lucena Grand Terminal",13.96019904,121.6169135
1,Ibabang Iyam,Lucena City,Quezon Province,Our Lady of Lourdes Parish Church,Place of Worship,,"38 Nadres St, Lucena City, 4301 Quezon","Behind Caltex, Beside Quezon National High School",13.9332891,121.6044203
1,Barangay 11,Lucena City,Quezon Province,Carmel of St. Joseph,Place of Worship,,"Carmel of St. Joseph, P.O Box 59, Lucena City, 4301, Quezon",Behind Mount Carmel Hospital,13.94249229,121.6106549
1,Barangay 5,Lucena City,Quezon Province,Saint Ferdinand Cathedral Parish,Place of Worship,,"Quezon Ave, Lucena City, 4301 Quezon",Near Jollibee Bayan,13.93607174,121.6123088
1,Cotta,Lucena City,Quezon Province,Diocesan Shrine and Parish of St. Jude Thaddeus,Place of Worship,,"Quezon Ave, Lucena City, 4301 Quezon",Front of St Jude Coop Bldg,13.91751988,121.6071918
1,Ibabang Dupay,Lucena City,Quezon Province,St. Isidore Parish Church,Place of Worship,,"Old Manila S Rd, Lucena City, 4301 Quezon","Front of DadBod, Beside Star Honda",13.94092835,121.6219867
1,Dalahican,Lucena City,Quezon Province,"St. Raphael, Archangel Parish Church",Place of Worship,,"Dalahican Rd, Lucena City, 4301 Quezon",,13.91401951,121.6165184
1,Gulang-gulang,Lucena City,Quezon Province,Our Lady of Peñafrancia Parish and Diocesan Shrine,Place of Worship,,"Capistrano Subd, Lucena City, 4301 Quezon",,13.95552673,121.6064799
1,Isabang,Lucena City,Quezon Province,Sentro Pastoral of the Diocese of Lucena,Place of Worship,,"Del Rosario St, Lucena City, Quezon",Front of DLL,13.94523017,121.5898575
1,Barangay 3,Lucena City,Quezon Province,LCDRRMC Covered Court,Covered Court,,"Lucena City, 4301 Quezon",Behind Metro Supermarket,13.93640507,121.6077226
1,Gulang-gulang,Lucena City,Quezon Province,North Employees Covered Court,Covered Court,,"871 Benjamen St, Lucena City, 4301 Quezon",,13.95119187,121.607381
1,Ibabang Dupay,Lucena City,Quezon Province,Brgy. Ibabang Dupay Basketball Court,Covered Court,,"Villa Consuelo Subdivision, Brgy, Lucena City, Quezon",Near LKS Security Agency,13.94435857,121.6221716
1,Barangay 9,Lucena City,Quezon Province,Basketball Covered Court (Helen Tan),Covered Court,,"Milagrosa Subd, San Pedro St, Lucena City, 4301 Quezon",,13.93141833,121.6183939
1,Mayao Castillo,Lucena City,Quezon Province,Mayao Castillo Covered Court,Covered Court,,"Mayao Castillo, Lucena City, 4301 Quezon",,13.92500666,121.6690457
1,Ibabang Iyam,Lucena City,Quezon Province,Landing Basketball Covered Court,Covered Court,,"Landing, Lucena City, 4301 Quezon",Behind Barangay Hall,13.93146826,121.6010157
1,Ibabang Iyam,Lucena City,Quezon Province,Ibabang Iyam Barangay Hall,Barangay Hall,,"Landing, Lucena City, 4301 Quezon",Beside Covered Court,13.93165538,121.6007978
1,Ilayang Iyam,Lucena City,Quezon Province,Ilayang Iyam Barangay Hall,Barangay Hall,,"Torres Subd, Lucena City, 4301 Quezon",,13.93669791,121.6028124
1,Barangay 5,Lucena City,Quezon Province,Barangay V Barangay Hall,Barangay Hall,,"Malvar St, Lucena City, 4301 Quezon",,13.93549918,121.6092282
1,Barangay 7,Lucena City,Quezon Province,Barangay VII Barangay Hall,Barangay Hall,,"M. H. del Pilar St, Lucena City, 4301 Quezon",,13.93320596,121.6108011
1,Barangay 1,Lucena City,Quezon Province,Barangay UNO Barangay Hall,Barangay Hall,,"10-18 P. Gomez St, Lucena City, 4301 Quezon","Sabina Rd, Behind Pacific Mall",13.93886095,121.6101709
1,Cotta,Lucena City,Quezon Province,Cotta Barangay Hall,Barangay Hall,,"San Fernando Compound, Lucena City, 4301 Quezon",,13.92478396,121.6134835
1,Dalahican,Lucena City,Quezon Province,Pamahalaang Gusali Barangay Dalahican,Barangay Hall,,"Dalahican Rd, Lucena City, 4301 Quezon",,13.90571357,121.6201403
1,Lucena City,Quezon Province,Barra Barangay Hall,Barangay Hall,,"Barra Rd, Lucena City, 4301 Quezon",,13.89846023,121.6050602